bitcoin_close;bitcoin_open;bitcoin_max;bitcoin_min;bitcoin_volume;date
15,577.9;15,593.9;15,955.2;15,223.5;186.13K;06/11/2020
14,828.4;15,578.2;15,754.4;14,385.1;160.73K;07/11/2020
15,483.7;14,826.6;15,648.3;14,720.7;94.99K;08/11/2020
15,327.2;15,483.3;15,819.6;14,816.9;165.04K;09/11/2020
15,303.6;15,328.0;15,465.3;15,096.5;93.36K;10/11/2020
15,695.8;15,303.1;15,953.9;15,281.0;119.07K;11/11/2020
16,294.7;15,695.8;16,342.7;15,483.5;165.54K;12/11/2020
16,324.2;16,293.0;16,474.1;15,973.4;113.75K;13/11/2020
16,071.0;16,323.1;16,328.2;15,717.7;83.64K;14/11/2020
15,953.0;16,074.7;16,158.1;15,782.3;58.43K;15/11/2020
16,715.8;15,954.1;16,880.7;15,870.7;118.09K;16/11/2020
17,662.3;16,715.8;17,845.4;16,562.0;175.87K;17/11/2020
17,774.6;17,662.3;18,466.1;17,258.9;233.43K;18/11/2020
17,803.5;17,775.1;18,166.0;17,380.1;135.94K;19/11/2020
18,675.2;17,805.5;18,811.0;17,758.4;134.42K;20/11/2020
18,687.2;18,673.8;18,966.0;18,397.5;108.91K;21/11/2020
18,412.9;18,689.3;18,751.5;17,644.6;121.76K;22/11/2020
18,379.6;18,428.1;18,756.8;18,016.0;127.35K;23/11/2020
19,152.6;18,394.6;19,416.6;18,074.8;180.79K;24/11/2020
18,723.0;19,151.5;19,486.7;18,527.7;146.12K;25/11/2020
17,162.0;18,721.9;18,894.9;16,235.2;312.07K;26/11/2020
17,127.1;17,160.9;17,450.3;16,481.6;138.80K;27/11/2020
17,730.7;17,142.6;17,874.4;16,874.4;95.20K;28/11/2020
18,185.5;17,729.7;18,336.3;17,530.4;79.12K;29/11/2020
19,698.1;18,186.0;19,831.2;18,186.0;185.59K;30/11/2020
18,770.7;19,697.8;19,897.4;18,257.0;208.72K;01/12/2020
19,218.8;18,767.9;19,335.5;18,346.7;91.92K;02/12/2020
